id,quality
0,6
1,6
2,6
3,5
4,7
5,6
6,5
7,7
8,5
9,5
10,7
11,6
12,6
13,6
14,6
15,6
16,5
17,6
18,6
19,6
20,6
21,6
22,5
23,6
24,6
25,7
26,6
27,7
28,6
29,6
30,6
31,5
32,7
33,6
34,7
35,7
36,6
37,5
38,6
39,6
40,6
41,5
42,6
43,5
44,6
45,6
46,6
47,7
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,5
57,6
58,5
59,5
60,6
61,6
62,6
63,6
64,6
65,7
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,7
76,6
77,6
78,6
79,5
80,5
81,5
82,6
83,6
84,5
85,6
86,7
87,5
88,6
89,7
90,7
91,7
92,6
93,5
94,6
95,5
96,5
97,6
98,5
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,7
107,6
108,6
109,6
110,5
111,6
112,5
113,7
114,6
115,5
116,6
117,6
118,6
119,7
120,6
121,5
122,6
123,6
124,5
125,6
126,6
127,6
128,6
129,5
130,5
131,7
132,5
133,6
134,6
135,5
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,5
145,5
146,5
147,6
148,5
149,6
150,5
151,7
152,7
153,6
154,6
155,6
156,6
157,5
158,5
159,6
160,6
161,6
162,5
163,5
164,6
165,5
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,5
174,6
175,6
176,6
177,6
178,5
179,6
180,6
181,6
182,6
183,6
184,5
185,6
186,6
187,7
188,5
189,5
190,6
191,6
192,5
193,6
194,6
195,6
196,6
197,6
198,6
199,5
200,5
201,6
202,5
203,6
204,6
205,6
206,6
207,5
208,6
209,6
210,7
211,6
212,6
213,6
214,7
215,5
216,6
217,6
218,6
219,6
220,5
221,5
222,6
223,6
224,6
225,6
226,7
227,5
228,5
229,5
230,6
231,5
232,6
233,7
234,5
235,6
236,6
237,5
238,7
239,6
240,6
241,6
242,5
243,5
244,6
245,6
246,5
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,5
256,6
257,6
258,6
259,5
260,6
261,6
262,5
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,6
272,6
273,6
274,6
275,6
276,5
277,6
278,5
279,7
280,6
281,6
282,6
283,7
284,5
285,5
286,6
287,5
288,5
289,6
290,6
291,6
292,6
293,6
294,5
295,6
296,6
297,5
298,5
299,7
300,6
301,5
302,6
303,5
304,5
305,6
306,6
307,6
308,6
309,5
310,7
311,7
312,6
313,5
314,5
315,6
316,6
317,6
318,6
319,5
320,6
321,6
322,6
323,7
324,6
325,6
326,6
327,6
328,5
329,7
330,6
331,6
332,6
333,6
334,6
335,7
336,6
337,6
338,6
339,6
340,7
341,6
342,6
343,6
344,7
345,5
346,5
347,5
348,6
349,7
350,6
351,5
352,5
353,7
354,6
355,6
356,6
357,6
358,6
359,6
360,6
361,6
362,5
363,7
364,6
365,6
366,6
367,6
368,6
369,6
370,7
371,6
372,6
373,6
374,6
375,6
376,6
377,6
378,6
379,6
380,5
381,5
382,6
383,6
384,6
385,5
386,5
387,6
388,6
389,6
390,6
391,5
392,6
393,6
394,6
395,6
396,7
397,5
398,6
399,6
400,6
401,6
402,6
403,6
404,6
405,5
406,5
407,6
408,6
409,6
410,6
411,6
412,5
413,6
414,5
415,6
416,5
417,6
418,6
419,7
420,6
421,6
422,7
423,7
424,5
425,6
426,6
427,6
428,6
429,6
430,6
431,6
432,6
433,6
434,6
435,6
436,5
437,6
438,6
439,6
440,7
441,6
442,6
443,6
444,6
445,6
446,7
447,7
448,5
449,5
450,6
451,6
452,6
453,6
454,6
455,6
456,5
457,6
458,7
459,6
460,6
461,6
462,5
463,6
464,6
465,5
466,5
467,6
468,5
469,5
470,6
471,4
472,5
473,5
474,6
475,5
476,6
477,5
478,5
479,5
480,5
481,6
482,5
483,6
484,5
485,6
486,6
487,6
488,5
489,5
490,5
491,6
492,6
493,6
494,5
495,5
496,6
497,7
498,5
499,6
500,6
501,6
502,7
503,5
504,6
505,6
506,6
507,5
508,6
509,6
510,7
511,6
512,6
513,6
514,6
515,6
516,6
517,5
518,6
519,6
520,6
521,6
522,5
523,6
524,6
525,5
526,7
527,6
528,6
529,6
530,5
531,7
532,6
533,6
534,6
535,6
536,6
537,6
538,6
539,6
540,6
541,6
542,7
543,6
544,6
545,6
546,6
547,5
548,6
549,6
550,6
551,6
552,6
553,6
554,6
555,5
556,6
557,6
558,7
559,6
560,6
561,5
562,7
563,6
564,6
565,6
566,5
567,5
568,6
569,6
570,6
571,6
572,6
573,5
574,6
575,6
576,6
577,6
578,5
579,6
580,6
581,5
582,6
583,6
584,6
585,6
586,6
587,5
588,6
589,7
590,5
591,6
592,5
593,6
594,6
595,5
596,6
597,7
598,6
599,5
600,7
601,6
602,6
603,5
604,6
605,6
606,6
607,7
608,6
609,6
610,6
611,6
612,6
613,7
614,7
615,6
616,5
617,6
618,6
619,4
620,5
621,6
622,6
623,6
624,5
625,6
626,5
627,5
628,6
629,6
630,6
631,6
632,5
633,6
634,6
635,6
636,6
637,6
638,5
639,6
640,5
641,5
642,6
643,6
644,5
645,5
646,6
647,6
648,6
649,6
650,5
651,5
652,6
653,6
654,6
655,5
656,6
657,6
658,6
659,5
660,6
661,6
662,6
663,6
664,5
665,7
666,6
667,6
668,6
669,6
670,6
671,6
672,6
673,5
674,5
675,5
676,5
677,6
678,6
679,6
680,6
681,5
